strategy,rouge1,rouge2,rougeL,bleu,bertscore
reversed_top2,0.3643176470588236,0.17676764705882353,0.22256470588235294,0.09624117647058823,0.8608911764705882
reversed_top3,0.38653529411764703,0.19970882352941177,0.24348529411764705,0.11355588235294117,0.8675794117647059
reversed_top4,0.3840088235294118,0.19605,0.24093529411764708,0.11100882352941176,0.8649970588235294
reversed_top5,0.3698941176470588,0.18330588235294118,0.23647352941176472,0.10344117647058823,0.8644088235294118
sequential_top1,0.3432676470588235,0.1385235294117647,0.20495588235294115,0.06938823529411764,0.8371088235294117
sequential_top2,0.34509411764705883,0.1477529411764706,0.20375588235294118,0.07174117647058824,0.8443529411764705
sequential_top3,0.36879999999999996,0.1955,0.23603235294117647,0.10876764705882354,0.8646411764705882
sequential_top4,0.36662647058823533,0.18764117647058826,0.24053823529411766,0.10355294117647058,0.8643205882352941
sequential_top5,0.3436176470588235,0.1396029411764706,0.20395588235294118,0.06982352941176471,0.8581529411764706
shuffled_top3,0.36661470588235295,0.18304411764705883,0.2232735294117647,0.1007764705882353,0.8638029411764706
shuffled_top4,0.3870558823529412,0.20118823529411764,0.2472323529411765,0.11420294117647058,0.8675411764705883
shuffled_top5,0.3850323529411765,0.20073823529411763,0.2435794117647059,0.1171764705882353,0.8669735294117648
