topk,metric,N,mean_diff,std_diff,t_stat,p_t,wilcoxon_stat,p_w,n_pos,n_neg,p_sign,figure,sig_t,sig_w,sig_sign
2,rouge1,233,0.015909012875536477,0.0950404063587258,2.5551294600422745,0.011254494766764371,11024.5,0.014991141393234278,131,101,0.05668320751346569,rq2_diff_analysis_alltests\diff_reversed_vs_sequential_top2_rouge1.png,*,*,ns
2,rouge2,233,0.019782832618025752,0.1382758969217987,2.1838356572217847,0.029976573580717238,11724.5,0.06424438432490025,131,102,0.06637279449812866,rq2_diff_analysis_alltests\diff_reversed_vs_sequential_top2_rouge2.png,*,ns,ns
2,rougeL,233,0.01529613733905579,0.11611976996358049,2.010729122238968,0.04551132467813851,11759.5,0.06929363639841536,129,104,0.11569091077686348,rq2_diff_analysis_alltests\diff_reversed_vs_sequential_top2_rougeL.png,*,ns,ns
2,bleu,233,0.017189699570815453,0.1181355207918185,2.2210879031145816,0.027311310145063338,7427.5,0.05138882078832198,101,87,0.3430902789249583,rq2_diff_analysis_alltests\diff_reversed_vs_sequential_top2_bleu.png,*,ns,ns
2,bertscore,233,0.0030454935622317597,0.033540333270520556,1.3860160923709566,0.16707271959396774,12197.5,0.16414639845041468,122,111,0.5124764016401567,rq2_diff_analysis_alltests\diff_reversed_vs_sequential_top2_bertscore.png,ns,ns,ns
3,rouge1,233,0.008490987124463521,0.0927109154351942,1.3979938905617655,0.16345002771475292,11840.0,0.10189495116894592,133,99,0.03004861067359698,rq2_diff_analysis_alltests\diff_reversed_vs_sequential_top3_rouge1.png,ns,ns,*
3,rouge2,233,0.011740343347639489,0.12856170430448838,1.3939498115524118,0.16466643780101625,11952.0,0.10318471717963537,127,106,0.19000041751490293,rq2_diff_analysis_alltests\diff_reversed_vs_sequential_top3_rouge2.png,ns,ns,ns
3,rougeL,233,0.004914163090128757,0.10639055861464097,0.7050573380285382,0.48148179342560093,12777.0,0.47143073639095157,117,115,0.9476727296055178,rq2_diff_analysis_alltests\diff_reversed_vs_sequential_top3_rougeL.png,ns,ns,ns
3,bleu,233,0.008339055793991414,0.11470143541837508,1.1097521299008388,0.2682548026276555,9036.0,0.1770898853895435,110,91,0.2041053183964833,rq2_diff_analysis_alltests\diff_reversed_vs_sequential_top3_bleu.png,ns,ns,ns
3,bertscore,233,0.0012733905579399168,0.028278832937974577,0.6873502636038498,0.49254857590763856,13221.0,0.6909449986488334,114,119,0.7933516270862024,rq2_diff_analysis_alltests\diff_reversed_vs_sequential_top3_bertscore.png,ns,ns,ns
4,rouge1,233,0.01748326180257511,0.09752859935815268,2.736329762803784,0.006693637041314117,10809.5,0.0061658709938812025,137,96,0.008638406577337597,rq2_diff_analysis_alltests\diff_reversed_vs_sequential_top4_rouge1.png,**,**,**
4,rouge2,233,0.016983690987124458,0.14405730059097757,1.7995949565995113,0.07322391103910304,11196.0,0.023511864592824054,133,99,0.03004861067359698,rq2_diff_analysis_alltests\diff_reversed_vs_sequential_top4_rouge2.png,ns,*,*
4,rougeL,233,0.010575965665236057,0.11590958064533806,1.392767609385271,0.16502332276162476,11585.0,0.07457844331954105,126,105,0.1880904397938982,rq2_diff_analysis_alltests\diff_reversed_vs_sequential_top4_rougeL.png,ns,ns,ns
4,bleu,233,0.009507296137339053,0.1270704796559185,1.142063660729205,0.2546048815482937,9054.5,0.04756597148077826,118,89,0.05137558857869265,rq2_diff_analysis_alltests\diff_reversed_vs_sequential_top4_bleu.png,ns,*,ns
4,bertscore,233,0.006468240343347637,0.02831740242465606,3.486668808695966,0.0005848295693433659,9871.5,0.0002627315076497186,141,92,0.0016064369503148354,rq2_diff_analysis_alltests\diff_reversed_vs_sequential_top4_bertscore.png,***,***,**
5,rouge1,233,0.015349356223175967,0.0871585738359586,2.6881779248042,0.007705119411442429,11464.0,0.035431485906660266,120,113,0.6943539507711101,rq2_diff_analysis_alltests\diff_reversed_vs_sequential_top5_rouge1.png,**,*,ns
5,rouge2,233,0.014959227467811162,0.11915063963429945,1.9164202378179909,0.05654041079458698,11951.0,0.1029794127065758,126,107,0.2382460977422997,rq2_diff_analysis_alltests\diff_reversed_vs_sequential_top5_rouge2.png,ns,ns,ns
5,rougeL,233,0.011481974248927043,0.09923446426423471,1.7661679504137948,0.07868281361458251,12341.5,0.2519200277196614,115,117,0.9476727296055178,rq2_diff_analysis_alltests\diff_reversed_vs_sequential_top5_rougeL.png,ns,ns,ns
5,bleu,233,0.009105150214592276,0.09952015377723106,1.3965421152731232,0.16388591736325364,10357.5,0.2067426635914119,112,102,0.5385040002283765,rq2_diff_analysis_alltests\diff_reversed_vs_sequential_top5_bleu.png,ns,ns,ns
5,bertscore,233,0.0015901287553648058,0.0275608439213273,0.8806792018185253,0.3794028770733727,12714.5,0.43466921993901264,123,109,0.39343380459861926,rq2_diff_analysis_alltests\diff_reversed_vs_sequential_top5_bertscore.png,ns,ns,ns
