retrieval,tag,topk,compare,metric,N_pairs,p_raw,p_adj,significant@0.05
BM25+ColBERT,RQ2_order_effect,2,reversed - sequential,rouge1,233,0.011254494766764371,0.011254494766764371,True
BM25+ColBERT,RQ2_order_effect,2,reversed - sequential,rouge2,233,0.029976573580717238,0.029976573580717238,True
BM25+ColBERT,RQ2_order_effect,2,reversed - sequential,rougeL,233,0.04551132467813851,0.04551132467813851,True
BM25+ColBERT,RQ2_order_effect,2,reversed - sequential,bleu,233,0.027311310145063338,0.027311310145063338,True
BM25+ColBERT,RQ2_order_effect,2,reversed - sequential,bertscore,233,0.16707271959396774,0.16707271959396774,False
BM25+ColBERT,RQ2_order_effect,3,reversed - sequential,rouge1,233,0.16345002771475292,0.49035008314425876,False
BM25+ColBERT,RQ2_order_effect,3,reversed - sequential,rouge2,233,0.16466643780101625,0.49399931340304876,False
BM25+ColBERT,RQ2_order_effect,3,reversed - sequential,rougeL,233,0.48148179342560093,1.0,False
BM25+ColBERT,RQ2_order_effect,3,reversed - sequential,bleu,233,0.2682548026276555,0.8047644078829665,False
BM25+ColBERT,RQ2_order_effect,3,reversed - sequential,bertscore,233,0.49254857590763856,1.0,False
BM25+ColBERT,RQ2_order_effect,3,reversed - shuffled,rouge1,233,0.3843259974542548,0.7686519949085096,False
BM25+ColBERT,RQ2_order_effect,3,reversed - shuffled,rouge2,233,0.8063449282593119,0.8063449282593119,False
BM25+ColBERT,RQ2_order_effect,3,reversed - shuffled,rougeL,233,0.7602758721421357,1.0,False
BM25+ColBERT,RQ2_order_effect,3,reversed - shuffled,bleu,233,0.9594582924571087,0.9594582924571087,False
BM25+ColBERT,RQ2_order_effect,3,reversed - shuffled,bertscore,233,0.8404869295509937,1.0,False
BM25+ColBERT,RQ2_order_effect,3,sequential - shuffled,rouge1,233,0.5440933303978941,0.7686519949085096,False
BM25+ColBERT,RQ2_order_effect,3,sequential - shuffled,rouge2,233,0.2124681181911765,0.49399931340304876,False
BM25+ColBERT,RQ2_order_effect,3,sequential - shuffled,rougeL,233,0.6784021360478107,1.0,False
BM25+ColBERT,RQ2_order_effect,3,sequential - shuffled,bleu,233,0.2727785641690092,0.8047644078829665,False
BM25+ColBERT,RQ2_order_effect,3,sequential - shuffled,bertscore,233,0.35461526387539155,1.0,False
BM25+ColBERT,RQ2_order_effect,4,reversed - sequential,rouge1,233,0.006693637041314117,0.02008091112394235,True
BM25+ColBERT,RQ2_order_effect,4,reversed - sequential,rouge2,233,0.07322391103910304,0.1614147139070996,False
BM25+ColBERT,RQ2_order_effect,4,reversed - sequential,rougeL,233,0.16502332276162476,0.3300466455232495,False
BM25+ColBERT,RQ2_order_effect,4,reversed - sequential,bleu,233,0.2546048815482937,0.5092097630965874,False
BM25+ColBERT,RQ2_order_effect,4,reversed - sequential,bertscore,233,0.0005848295693433659,0.0017544887080300977,True
BM25+ColBERT,RQ2_order_effect,4,reversed - shuffled,rouge1,233,0.05738965699400277,0.11477931398800555,False
BM25+ColBERT,RQ2_order_effect,4,reversed - shuffled,rouge2,233,0.05380490463569987,0.1614147139070996,False
BM25+ColBERT,RQ2_order_effect,4,reversed - shuffled,rougeL,233,0.03454745724674587,0.1036423717402376,False
BM25+ColBERT,RQ2_order_effect,4,reversed - shuffled,bleu,233,0.044665154971939014,0.13399546491581704,False
BM25+ColBERT,RQ2_order_effect,4,reversed - shuffled,bertscore,233,0.07604411986356505,0.1520882397271301,False
BM25+ColBERT,RQ2_order_effect,4,sequential - shuffled,rouge1,233,0.30074066004077155,0.30074066004077155,False
BM25+ColBERT,RQ2_order_effect,4,sequential - shuffled,rouge2,233,0.9239259532513474,0.9239259532513474,False
BM25+ColBERT,RQ2_order_effect,4,sequential - shuffled,rougeL,233,0.6899387707619191,0.6899387707619191,False
BM25+ColBERT,RQ2_order_effect,4,sequential - shuffled,bleu,233,0.5847823848439222,0.5847823848439222,False
BM25+ColBERT,RQ2_order_effect,4,sequential - shuffled,bertscore,233,0.11713513182777131,0.1520882397271301,False
BM25+ColBERT,RQ2_order_effect,5,reversed - sequential,rouge1,233,0.007705119411442429,0.023115358234327286,True
BM25+ColBERT,RQ2_order_effect,5,reversed - sequential,rouge2,233,0.05654041079458698,0.11308082158917396,False
BM25+ColBERT,RQ2_order_effect,5,reversed - sequential,rougeL,233,0.07868281361458251,0.15736562722916503,False
BM25+ColBERT,RQ2_order_effect,5,reversed - sequential,bleu,233,0.16388591736325364,0.3277718347265073,False
BM25+ColBERT,RQ2_order_effect,5,reversed - sequential,bertscore,233,0.3794028770733727,0.5407854776211706,False
