retrieval,tag,topk,compare,metric,N_pairs,p_raw,p_adj,significant@0.05
BM25only,RQ2_order_effect,2,reversed - sequential,rouge1,233,0.07399881958251969,0.07399881958251969,False
BM25only,RQ2_order_effect,2,reversed - sequential,rouge2,233,0.07704426023653231,0.07704426023653231,False
BM25only,RQ2_order_effect,2,reversed - sequential,rougeL,233,0.29134113218717594,0.29134113218717594,False
BM25only,RQ2_order_effect,2,reversed - sequential,bleu,233,0.07890479475134606,0.07890479475134606,False
BM25only,RQ2_order_effect,2,reversed - sequential,bertscore,233,0.20261921103488914,0.20261921103488914,False
BM25only,RQ2_order_effect,3,reversed - sequential,rouge1,233,0.04770216570266125,0.14310649710798376,False
BM25only,RQ2_order_effect,3,reversed - sequential,rouge2,233,0.5400068584511555,1.0,False
BM25only,RQ2_order_effect,3,reversed - sequential,rougeL,233,0.8998701736412358,1.0,False
BM25only,RQ2_order_effect,3,reversed - sequential,bleu,233,0.9876574104537503,1.0,False
BM25only,RQ2_order_effect,3,reversed - sequential,bertscore,233,0.6185157758397605,1.0,False
BM25only,RQ2_order_effect,3,reversed - shuffled,rouge1,233,0.12285218902779599,0.24570437805559198,False
BM25only,RQ2_order_effect,3,reversed - shuffled,rouge2,233,0.3756546423165652,1.0,False
BM25only,RQ2_order_effect,3,reversed - shuffled,rougeL,233,0.6852173790594521,1.0,False
BM25only,RQ2_order_effect,3,reversed - shuffled,bleu,233,0.9466155267681138,1.0,False
BM25only,RQ2_order_effect,3,reversed - shuffled,bertscore,233,0.906446828175777,1.0,False
BM25only,RQ2_order_effect,3,sequential - shuffled,rouge1,233,0.5858261810802009,0.5858261810802009,False
BM25only,RQ2_order_effect,3,sequential - shuffled,rouge2,233,0.8565529309326725,1.0,False
BM25only,RQ2_order_effect,3,sequential - shuffled,rougeL,233,0.6342868786735637,1.0,False
BM25only,RQ2_order_effect,3,sequential - shuffled,bleu,233,0.9403171370771617,1.0,False
BM25only,RQ2_order_effect,3,sequential - shuffled,bertscore,233,0.6755137980602492,1.0,False
BM25only,RQ2_order_effect,4,reversed - sequential,rouge1,233,0.5811176088382703,1.0,False
BM25only,RQ2_order_effect,4,reversed - sequential,rouge2,233,0.9441941575386916,1.0,False
BM25only,RQ2_order_effect,4,reversed - sequential,rougeL,233,0.7032988937224458,1.0,False
BM25only,RQ2_order_effect,4,reversed - sequential,bleu,233,0.838459647932437,1.0,False
BM25only,RQ2_order_effect,4,reversed - sequential,bertscore,233,0.9448399807550589,1.0,False
BM25only,RQ2_order_effect,4,reversed - shuffled,rouge1,233,0.8816748401079406,1.0,False
BM25only,RQ2_order_effect,4,reversed - shuffled,rouge2,233,0.5232891019298791,1.0,False
BM25only,RQ2_order_effect,4,reversed - shuffled,rougeL,233,0.6210822207611032,1.0,False
BM25only,RQ2_order_effect,4,reversed - shuffled,bleu,233,0.6461478357999554,1.0,False
BM25only,RQ2_order_effect,4,reversed - shuffled,bertscore,233,0.6490793447483304,1.0,False
BM25only,RQ2_order_effect,4,sequential - shuffled,rouge1,233,0.47710863731970066,1.0,False
BM25only,RQ2_order_effect,4,sequential - shuffled,rouge2,233,0.46629013609421577,1.0,False
BM25only,RQ2_order_effect,4,sequential - shuffled,rougeL,233,0.35883285110064167,1.0,False
BM25only,RQ2_order_effect,4,sequential - shuffled,bleu,233,0.7759980415926873,1.0,False
BM25only,RQ2_order_effect,4,sequential - shuffled,bertscore,233,0.5791510320470734,1.0,False
BM25only,RQ2_order_effect,5,reversed - sequential,rouge1,233,0.002867919597331632,0.008603758791994896,True
BM25only,RQ2_order_effect,5,reversed - sequential,rouge2,233,0.010465813440131722,0.03139744032039517,True
BM25only,RQ2_order_effect,5,reversed - sequential,rougeL,233,0.011313817302624414,0.03394145190787324,True
BM25only,RQ2_order_effect,5,reversed - sequential,bleu,233,0.014588337969334198,0.043765013908002595,True
BM25only,RQ2_order_effect,5,reversed - sequential,bertscore,233,0.5045673297215173,1.0,False
BM25only,RQ2_order_effect,5,reversed - shuffled,rouge1,233,0.29304345535157433,0.29304345535157433,False
BM25only,RQ2_order_effect,5,reversed - shuffled,rouge2,233,0.2649111096328931,0.2649111096328931,False
BM25only,RQ2_order_effect,5,reversed - shuffled,rougeL,233,0.38811268317504966,0.38811268317504966,False
BM25only,RQ2_order_effect,5,reversed - shuffled,bleu,233,0.30334982056934245,0.30334982056934245,False
BM25only,RQ2_order_effect,5,reversed - shuffled,bertscore,233,0.3863209202431739,1.0,False
BM25only,RQ2_order_effect,5,sequential - shuffled,rouge1,233,0.03939680362714871,0.07879360725429742,False
BM25only,RQ2_order_effect,5,sequential - shuffled,rouge2,233,0.09257033098675126,0.1851406619735025,False
BM25only,RQ2_order_effect,5,sequential - shuffled,rougeL,233,0.08896602511430386,0.17793205022860772,False
BM25only,RQ2_order_effect,5,sequential - shuffled,bleu,233,0.11612430798056163,0.23224861596112326,False
BM25only,RQ2_order_effect,5,sequential - shuffled,bertscore,233,0.7964150292273687,1.0,False
